UserID;ConsumptionDate;FoodName;DBName;Grams;MealType
UserA;2025-11-01;LECHE ENTERA CRUDA;Default;100;Breakfast
UserA;2025-11-01;LECHE ENTERA HERVIDA;Default;100;Lunch
UserA;2025-11-02;LECHE ENTERA CRUDA;Default;150;Breakfast
UserA;2025-11-02;LECHE ENTERA HERVIDA;Default;150;Lunch
UserA;2025-11-03;LECHE ENTERA CRUDA;Default;200;Breakfast
UserA;2025-11-03;LECHE ENTERA HERVIDA;Default;200;Lunch
UserA;2025-11-04;LECHE ENTERA CRUDA;Default;140;Breakfast
UserA;2025-11-04;LECHE ENTERA HERVIDA;Default;170;Lunch
UserB;2025-11-01;LECHE ENTERA CRUDA;Default;200;Breakfast
UserB;2025-11-01;LECHE ENTERA HERVIDA;Default;200;Lunch
UserB;2025-11-02;LECHE ENTERA CRUDA;Default;250;Breakfast
UserB;2025-11-02;LECHE ENTERA HERVIDA;Default;200;Lunch
UserB;2025-11-03;LECHE ENTERA CRUDA;Default;250;Breakfast
UserB;2025-11-03;LECHE ENTERA HERVIDA;Default;250;Lunch
UserB;2025-11-04;LECHE ENTERA CRUDA;Default;300;Breakfast
UserB;2025-11-04;LECHE ENTERA HERVIDA;Default;350;Lunch
